                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.00466,                0.77368,                0.98947,                0.66154,             0.00023728,             0.00023728,             0.00023728
                      2,                0.00955,                0.66316,                0.98421,                0.71148,             0.00047058,             0.00047058,             0.00047058
                      3,                0.01738,                0.52105,                0.98421,                0.76776,             0.00069916,             0.00069916,             0.00069916
                      4,                0.00933,                0.63684,                0.98947,                0.71207,             0.00069279,             0.00069279,             0.00069279
                      5,                0.00839,                0.66842,                0.97895,                0.69829,             0.00069279,             0.00069279,             0.00069279
                      6,                0.00826,                0.67895,                0.97368,                0.70734,             0.00068573,             0.00068573,             0.00068573
                      7,                0.00647,                0.68421,                0.98947,                0.69452,             0.00067866,             0.00067866,             0.00067866
                      8,                  0.006,                0.64737,                0.99474,                0.72228,             0.00067159,             0.00067159,             0.00067159
                      9,                0.00848,                    0.6,                0.96842,                0.72723,             0.00066452,             0.00066452,             0.00066452
                     10,                0.01072,                0.66842,                      1,                0.69585,             0.00065745,             0.00065745,             0.00065745
                     11,                0.00603,                0.70526,                0.97895,                0.68145,             0.00065038,             0.00065038,             0.00065038
                     12,                0.00471,                0.68947,                0.98421,                0.68887,             0.00064331,             0.00064331,             0.00064331
                     13,                0.00491,                0.69474,                0.98421,                0.68181,             0.00063625,             0.00063625,             0.00063625
                     14,                0.00427,                0.73684,                0.97895,                0.67563,             0.00062918,             0.00062918,             0.00062918
                     15,                0.00368,                0.74211,                0.97895,                 0.6691,             0.00062211,             0.00062211,             0.00062211
                     16,                0.00366,                0.74737,                0.97895,                0.66393,             0.00061504,             0.00061504,             0.00061504
                     17,                0.00335,                0.70526,                0.97895,                 0.6639,             0.00060797,             0.00060797,             0.00060797
                     18,                0.00327,                0.73684,                0.97895,                   0.66,              0.0006009,              0.0006009,              0.0006009
                     19,                 0.0033,                0.74737,                0.97895,                0.66011,             0.00059383,             0.00059383,             0.00059383
                     20,                0.00328,                0.75263,                0.97895,                 0.6557,             0.00058677,             0.00058677,             0.00058677
                     21,                0.00315,                0.74737,                0.97895,                0.65847,              0.0005797,              0.0005797,              0.0005797
                     22,                0.00329,                0.73684,                0.97895,                0.66463,             0.00057263,             0.00057263,             0.00057263
                     23,                0.00338,                    0.7,                0.97895,                0.66928,             0.00056556,             0.00056556,             0.00056556
                     24,                0.00367,                0.77368,                0.97895,                0.64915,             0.00055849,             0.00055849,             0.00055849
                     25,                0.00321,                0.77368,                0.98421,                0.65122,             0.00055142,             0.00055142,             0.00055142
                     26,                0.00335,                0.76316,                0.97895,                0.65511,             0.00054435,             0.00054435,             0.00054435
                     27,                 0.0033,                0.76842,                0.97895,                0.64935,             0.00053728,             0.00053728,             0.00053728
                     28,                0.00327,                0.77368,                0.98421,                 0.6454,             0.00053022,             0.00053022,             0.00053022
                     29,                0.00319,                0.78421,                0.98421,                0.64488,             0.00052315,             0.00052315,             0.00052315
                     30,                0.00332,                0.77368,                0.98421,                0.64772,             0.00051608,             0.00051608,             0.00051608
                     31,                0.00318,                0.76316,                0.98421,                0.64961,             0.00050901,             0.00050901,             0.00050901
